Time taken: 4.1585 seconds
         15369055 function calls (14734139 primitive calls) in 25.680 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   127/96    0.006    0.000    0.257    0.003 _generate_schema.py:756(_model_schema)
      969    0.005    0.000    0.254    0.000 _parser.py:969(parse)
202608/200514    0.175    0.000    0.252    0.000 {built-in method __new__ of type object at 0x7f1c417cd600}
    78/72    0.000    0.000    0.251    0.003 __init__.py:1170(__getattr__)
        6    0.001    0.000    0.250    0.042 main.py:1(<module>)
        2    0.000    0.000    0.249    0.124 hub.py:1(<module>)
     7022    0.038    0.000    0.248    0.000 textwrap.py:419(dedent)
 2835/969    0.013    0.000    0.245    0.000 _parser.py:452(_parse_sub)
      6/5    0.000    0.000    0.243    0.049 config.py:433(instance)
        6    0.000    0.000    0.243    0.040 config.py:489(get_class)
      188    0.001    0.000    0.243    0.001 __init__.py:31(message_from_string)
        3    0.000    0.000    0.242    0.081 configuration_auto.py:289(from_pretrained)
25818/25813    0.090    0.000    0.242    0.000 module.py:1971(__setattr__)
     1206    0.018    0.000    0.241    0.000 sdpa_attention.py:40(sdpa_attention_forward)
      188    0.003    0.000    0.241    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.240    0.240 rust.py:1(<module>)
        1    0.000    0.000    0.240    0.240 _sputils.py:1(<module>)
        7    0.000    0.000    0.240    0.034 _util.py:1(<module>)
      188    0.002    0.000    0.238    0.001 parser.py:41(parse)
    37237    0.056    0.000    0.238    0.000 pathlib.py:380(with_segments)
3490/1031    0.089    0.000    0.237    0.000 _parser.py:512(_parse)
      689    0.002    0.000    0.237    0.000 _generate_schema.py:1238(_generate_md_field_schema)
8948/2148    0.005    0.000    0.236    0.000 typing_utils.py:262(<genexpr>)
  806/690    0.012    0.000    0.231    0.000 _generate_schema.py:1278(_common_field_schema)
   494/12    0.044    0.000    0.227    0.019 library.py:283(impl)
    10083    0.076    0.000    0.227    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.001    0.001    0.226    0.226 hf_api.py:1(<module>)
    31264    0.030    0.000    0.224    0.000 pathlib.py:702(parts)
        1    0.000    0.000    0.224    0.224 _mode.py:1(<module>)
      9/1    0.000    0.000    0.223    0.223 custom_ops.py:176(inner)
     10/1    0.000    0.000    0.223    0.223 custom_ops.py:366(inner)
    13302    0.222    0.000    0.222    0.000 {method 'splitlines' of 'str' objects}
9582/1626    0.004    0.000    0.221    0.000 typing_utils.py:260(<genexpr>)
     1264    0.024    0.000    0.220    0.000 _docscrape.py:224(_parse_param_list)
        3    0.000    0.000    0.219    0.073 configuration_utils.py:669(get_config_dict)
      367    0.001    0.000    0.219    0.001 feedparser.py:171(feed)
        3    0.000    0.000    0.219    0.073 configuration_utils.py:702(_get_config_dict)
      849    0.104    0.000    0.216    0.000 _pytree.py:1581(tree_map_)
       15    0.001    0.000    0.215    0.014 _page.py:1947(extract_text)
        1    0.000    0.000    0.215    0.215 rust.py:74(RustBindingsAPI)
       15    0.002    0.000    0.215    0.014 _page.py:1678(_extract_text)
        1    0.000    0.000    0.213    0.213 _triton.py:7(has_triton_package)
      555    0.002    0.000    0.207    0.000 feedparser.py:176(_call_parse)
     1142    0.003    0.000    0.205    0.000 dataclasses.py:661(_cmp_fn)
      555    0.035    0.000    0.205    0.000 feedparser.py:216(_parsegen)
      157    0.004    0.000    0.203    0.001 signature.py:125(ensure_all_kwargs_defined_in_sub)
      609    0.011    0.000    0.201    0.000 core_model_loading.py:605(__init__)
     1206    0.199    0.000    0.199    0.000 {built-in method torch._C._nn.scaled_dot_product_attention}
        4    0.000    0.000    0.199    0.050 _api.py:1(<module>)
      157    0.004    0.000    0.199    0.001 signature.py:170(ensure_all_positional_args_defined_in_sub)
        6    0.001    0.000    0.198    0.033 _internal.py:56(clone_module)
        1    0.000    0.000    0.195    0.195 async_client.py:1(<module>)
       14    0.001    0.000    0.194    0.014 config.py:1(<module>)
       10    0.000    0.000    0.194    0.019 __init__.py:704(__getattr__)
     1116    0.008    0.000    0.192    0.000 dataclasses.py:627(_repr_fn)
        2    0.000    0.000    0.189    0.095 operator.py:1(<module>)
   100029    0.065    0.000    0.184    0.000 module.py:2776(children)
      201    0.003    0.000    0.184    0.001 model.py:514(preprocess)
    16097    0.028    0.000    0.183    0.000 pathlib.py:731(parent)
  840/690    0.008    0.000    0.182    0.000 _generate_schema.py:2210(_apply_annotations)
        1    0.001    0.001    0.180    0.180 tokenization_utils_base.py:1496(from_pretrained)
    18380    0.010    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    39885    0.178    0.000    0.178    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.177    0.177 _branch.py:1(<module>)
      139    0.011    0.000    0.174    0.001 autograd.py:24(make_autograd_impl)
     3422    0.025    0.000    0.174    0.000 typing.py:1269(__init__)
     2785    0.004    0.000    0.173    0.000 trace_rules.py:3050(_load_obj_from_str)
     2617    0.019    0.000    0.173    0.000 _ops.py:1209(__getattr__)
     4904    0.008    0.000    0.170    0.000 <frozen importlib._bootstrap>:416(__enter__)
  901/690    0.001    0.000    0.169    0.000 _schema_generation_shared.py:82(__call__)
     1206    0.002    0.000    0.169    0.000 activations.py:88(forward)
      408    0.000    0.000    0.169    0.000 pathlib.py:1097(rglob)
     1598    0.080    0.000    0.169    0.000 <frozen abc>:105(__new__)
      408    0.004    0.000    0.168    0.000 pathlib.py:234(_select_from)
     4231    0.119    0.000    0.167    0.000 {built-in method _io.open}
      201    0.006    0.000    0.167    0.001 transformer.py:895(preprocess)
        1    0.000    0.000    0.167    0.167 processing_auto.py:1(<module>)
     1206    0.167    0.000    0.167    0.000 {built-in method torch._C._nn.gelu}
        3    0.000    0.000    0.166    0.055 _client.py:1036(get)
  840/690    0.002    0.000    0.165    0.000 _generate_schema.py:2227(inner_handler)
        1    0.000    0.000    0.162    0.162 client.py:44(Client)
        1    0.000    0.000    0.162    0.162 __init__.py:368(_load_global_deps)
    13806    0.058    0.000    0.161    0.000 _docscrape.py:67(read_to_condition)
1980/1480    0.003    0.000    0.160    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.160    0.160 __init__.py:329(_preload_cuda_deps)
       17    0.000    0.000    0.160    0.009 __init__.py:311(_preload_cuda_lib)
        1    0.000    0.000    0.159    0.159 async_client.py:42(AsyncClient)
     5179    0.014    0.000    0.159    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1194    0.077    0.000    0.159    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.158    0.158 _mgc.py:1(<module>)
     9039    0.041    0.000    0.158    0.000 typing.py:175(_type_check)
      969    0.003    0.000    0.156    0.000 _compiler.py:578(_code)
        2    0.000    0.000    0.156    0.078 _main.py:1(<module>)
    53385    0.097    0.000    0.155    0.000 pathlib.py:358(__init__)
    37753    0.046    0.000    0.154    0.000 pathlib.py:1157(__init__)
       29    0.001    0.000    0.154    0.005 _utils.py:1(<module>)
     4670    0.026    0.000    0.151    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
742372/731680    0.126    0.000    0.150    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.149    0.075 module.py:1(<module>)
      110    0.004    0.000    0.148    0.001 _distn_infrastructure.py:1874(__init__)
      201    0.001    0.000    0.147    0.001 transformer.py:1197(_call_processor)
        1    0.000    0.000    0.146    0.146 conversion_mapping.py:1522(get_model_conversion_mapping)
      201    0.002    0.000    0.146    0.001 transformer.py:1277(_call_single_modality_processor)
        8    0.000    0.000    0.146    0.018 main.py:180(__init__)
        3    0.000    0.000    0.145    0.048 conversion_mapping.py:1472(get_checkpoint_conversion_mapping)
        1    0.000    0.000    0.145    0.145 transformer.py:1702(_load_model)
        1    0.000    0.000    0.145    0.145 auto_factory.py:262(from_pretrained)
        1    0.000    0.000    0.145    0.145 modeling_utils.py:3835(from_pretrained)
        2    0.000    0.000    0.145    0.072 module.py:165(load_config)
        1    0.001    0.001    0.144    0.144 conversion_mapping.py:135(_build_checkpoint_conversion_mapping)
     8790    0.046    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
     4407    0.103    0.000    0.144    0.000 inspect.py:1845(getattr_static)
      201    0.005    0.000    0.144    0.001 tokenization_utils_base.py:2419(__call__)
    16125    0.022    0.000    0.143    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.000    0.000    0.143    0.143 modeling_utils.py:4471(_finalize_model_loading)
 1779/686    0.017    0.000    0.143    0.000 _generate_schema.py:1045(match_type)
        1    0.001    0.001    0.142    0.142 _morestats.py:1(<module>)
        1    0.000    0.000    0.140    0.140 pycode.py:1(<module>)
        1    0.000    0.000    0.140    0.140 f2py2e.py:1(<module>)
        3    0.000    0.000    0.140    0.047 __init__.py:60(__getattr__)
    10673    0.066    0.000    0.140    0.000 _docscrape.py:168(_is_at_section)
        1    0.000    0.000    0.138    0.138 codeprinter.py:1(<module>)
        3    0.000    0.000    0.138    0.046 deprecation.py:1(<module>)
   380614    0.137    0.000    0.137    0.000 {method 'get' of 'dict' objects}
    10040    0.010    0.000    0.136    0.000 _docscrape.py:77(read_to_next_empty_line)
        1    0.009    0.009    0.136    0.136 {built-in method torch._C._initExtension}
        1    0.000    0.000    0.135    0.135 transformer.py:1633(_load_config)
        4    0.000    0.000    0.135    0.034 model.py:1(<module>)
     2754    0.002    0.000    0.135    0.000 utils.py:1385(unwrap_if_wrapper)
       19    0.000    0.000    0.135    0.007 __init__.py:343(__init__)
     1374    0.012    0.000    0.135    0.000 typing.py:694(Union)
     6298    0.132    0.000    0.134    0.000 _docscrape.py:403(<genexpr>)
       19    0.134    0.007    0.134    0.007 {built-in method _ctypes.dlopen}
     2754    0.003    0.000    0.133    0.000 utils.py:1389(unwrap_with_attr_name_if_wrapper)
        1    0.000    0.000    0.133    0.133 _algo.py:1(<module>)
